EvCat,EvCode,EvData,LocCode,Latitude,Longitude
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","59643","49.9079","8.6079"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","59643","49.9079","8.6079"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","59643","49.9079","8.6079"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12251","47.7398","10.3415"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12251","47.7398","10.3415"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12251","47.7398","10.3415"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","10870","50.05865","8.6484"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11938","50.0024","8.1124"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","59643","49.9079","8.6079"
"1. LEVEL OF SERVICE","716","(Q sets of) roadworks. Danger of stationary traffic","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","349","(Q) accident(s). Queuing traffic for 3 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","349","(Q) accident(s). Queuing traffic for 3 km","11024","51.7331","8.70535"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","12251","47.7398","10.3415"
"12. OBSTRUCTION HAZARDS","971","message cancelled","12251","47.7398","10.3415"
"1. LEVEL OF SERVICE","103","stationary traffic for 2 km","25429","49.87115","8.34405"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","10870","50.05865","8.6484"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"12. OBSTRUCTION HAZARDS","971","message cancelled","59643","49.9079","8.6079"
"12. OBSTRUCTION HAZARDS","971","message cancelled","59643","49.9079","8.6079"
"12. OBSTRUCTION HAZARDS","971","message cancelled","59643","49.9079","8.6079"
"12. OBSTRUCTION HAZARDS","971","message cancelled","59643","49.9079","8.6079"
"1. LEVEL OF SERVICE","128","message cancelled","20280","49.2005","7.7497"
"1. LEVEL OF SERVICE","128","message cancelled","11938","50.0024","8.1124"
"1. LEVEL OF SERVICE","128","message cancelled","11938","50.0024","8.1124"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","25429","49.87115","8.34405"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","10870","50.05865","8.6484"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","10870","50.05865","8.6484"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","10870","50.05865","8.6484"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"3. ACCIDENTS","334","message cancelled","10870","50.05865","8.6484"
"3. ACCIDENTS","334","message cancelled","10870","50.05865","8.6484"
"3. ACCIDENTS","203","multi-vehicle accident (involving Q vehicles)","10869","50.06465","8.727"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","712","(Q sets of) roadworks. Stationary traffic for 2 km","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"1. LEVEL OF SERVICE","131","queuing traffic for 3 km (with average speeds Q)","11985","50.2129","7.55165"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","25429","49.87115","8.34405"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","25429","49.87115","8.34405"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"1. LEVEL OF SERVICE","131","queuing traffic for 3 km (with average speeds Q)","11985","50.2129","7.55165"
"1. LEVEL OF SERVICE","131","queuing traffic for 3 km (with average speeds Q)","11985","50.2129","7.55165"
"1. LEVEL OF SERVICE","131","queuing traffic for 3 km (with average speeds Q)","11985","50.2129","7.55165"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","128","message cancelled","20301","48.80545","9.2105"
"1. LEVEL OF SERVICE","128","message cancelled","20301","48.80545","9.2105"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","25429","49.87115","8.34405"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","55273","50.3895","7.3716"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"1. LEVEL OF SERVICE","128","message cancelled","11985","50.2129","7.55165"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"1. LEVEL OF SERVICE","111","queuing traffic for 4 km (with average speeds Q)","57886","48.9091","8.6896"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"5. CLOSURES AND LANE RESTRICTIONS","401","closed","56747","49.4855","8.7971"
"1. LEVEL OF SERVICE","106","stationary traffic for 10 km","56711","49.2573","8.6025"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11521","50.4438","7.6635"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","15343","47.9882","7.7444"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11115","50.92585","6.84525"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","4393","49.0696","8.5083"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"3. ACCIDENTS","391","accident investigation work. Danger","20801","48.80075","9.27975"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","55273","50.3895","7.3716"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","20798","48.799","9.2096"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"5. CLOSURES AND LANE RESTRICTIONS","736","(Q sets of) roadworks. Right lane closed","10909","50.9524","7.0367"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
